numeroDevis,client,stage,statutDevis,anneeDevis,id,createdAt,updatedAt
104250-CL-24243,LPO MELKIOR GARRE,GAGNE,GAGNE,2024,efbb4838-3a3d-47ea-a4af-efd545221013,2024-07-02T00:00:00.000Z,2026-03-03T07:59:26.069Z
104550-CL-24023,COLLEGE AURELIE LAMBOURDE ,GAGNE,GAGNE,2024,fa4e6e41-da25-4f3c-a653-dc1ef26f314c,2024-01-10T00:00:00.000Z,2026-03-03T07:55:49.829Z
104550-CL-24348,COLLEGE AURELIE LAMBOURDE ,DEVIS_ENVOYE,PERDU,2024,2bdd82d4-c995-44ca-a298-4ce68160b3cd,2024-10-20T00:00:00.000Z,2026-05-11T21:07:40.570Z
104551-CL-24050,COLLEGE SUZE ANGELY (Ancien ANGE POULAIN),GAGNE,GAGNE,2024,e072f2ac-343d-4e68-a375-86d4e05f8e29,2024-01-22T00:00:00.000Z,2026-03-03T07:56:15.804Z
104693-CL-23361,COLLEGE EUGENE YSSAP,GAGNE,GAGNE,2023,f1d7e37f-da16-4614-947e-33d7da0d47b6,2023-09-11T00:00:00.000Z,2026-03-03T07:52:31.952Z
104695-CL-24044,LYCEE POLYVALENT ANNE MARIE JAVOUHEY,DEVIS_ENVOYE,EN_ATTENTE,2024,03b9b272-3608-4e07-9f1e-a8abe4c7f20f,2024-01-21T00:00:00.000Z,2026-03-03T16:34:30.564Z
104828-CL-24032,EHPAD L'OASIS ,DEVIS_ENVOYE,EN_ATTENTE,2024,74d8b81e-433b-4e1d-8df7-f21a31500ce8,2024-01-14T00:00:00.000Z,2026-03-03T16:34:27.961Z
104925-CLI-24229,LYCEE PRO. CHATEAUBOEUF,GAGNE,GAGNE,2024,9c2b1935-f66a-4291-a7f3-25ebc163d62d,2024-03-10T00:00:00.000Z,2026-04-06T21:14:47.752Z
104928-CL-23218,LYCEE GENERAL FRANTZ FANON,DEVIS_ENVOYE,EN_ATTENTE,2023,19711a7b-901d-4fd3-a99b-0c08c02baa28,2023-05-02T00:00:00.000Z,2026-03-03T16:33:47.574Z
104928-CL-23377,LYCEE GENERAL FRANTZ FANON,GAGNE,GAGNE,2023,076f4e3a-7e35-4186-b22a-f4c93f23e554,2023-09-24T00:00:00.000Z,2026-03-03T07:52:56.355Z
104933-CL-23484,COLLEGE GOURDELIANE,DEVIS_ENVOYE,EN_ATTENTE,2023,716f1e38-e61a-4060-9730-bee3584b0f8e,2023-12-04T00:00:00.000Z,2026-03-03T16:34:20.774Z
104934-CL-23043,COLLEGE FERNAND BALIN,DEVIS_ENVOYE,EN_ATTENTE,2023,7326af3d-2a4c-4c49-a8cb-37ceb46bf4a8,2023-01-23T00:00:00.000Z,2026-03-03T16:33:25.437Z
104934-CL-24337,COLLEGE FERNAND BALIN,GAGNE,GAGNE,2024,b21b3d82-b772-4bf2-a857-eebde6dbc26f,2024-10-14T00:00:00.000Z,2026-05-11T20:55:42.855Z
104948-CL-23295,CITE SCOLAIRE LA PERSEVERANCE,DEVIS_ENVOYE,PERDU,2023,b768bfcc-ae6e-4511-9963-498d7de30dff,2023-07-02T00:00:00.000Z,2026-03-03T07:51:29.610Z
104957-CL-24030,COLLEGE MAXIMILIEN VRECORD,DEVIS_ENVOYE,EN_ATTENTE,2024,61ef9514-5a07-4ff8-a107-52e1219bf0b5,2024-01-14T00:00:00.000Z,2026-03-03T16:34:26.663Z
104968-CL-23120,LYCEE POLYVALENT RAOUL GEORGES NICOLO (ANCIEN LYCEE RIVIERES DES PERES),DEVIS_ENVOYE,EN_ATTENTE,2023,7db250a3-63cf-49d5-b272-a256ea41419e,2023-03-07T00:00:00.000Z,2026-03-03T16:33:34.571Z
104968-CL-23482,LYCEE POLYVALENT RAOUL GEORGES NICOLO (ANCIEN LYCEE RIVIERES DES PERES),DEVIS_ENVOYE,EN_ATTENTE,2023,4ec0a774-990d-45e6-ac25-102190c6bb08,2023-11-29T00:00:00.000Z,2026-03-03T16:34:19.455Z
104968-CL-24237,LYCEE POLYVALENT RAOUL GEORGES NICOLO (ANCIEN LYCEE RIVIERES DES PERES),DEVIS_ENVOYE,EN_ATTENTE,2024,3f8ea711-9c26-4d69-b87f-549ff760898d,2024-06-25T00:00:00.000Z,2026-03-03T16:34:49.465Z
104993-CL-24029,COLLEGE BEBEL,DEVIS_ENVOYE,PERDU,2024,c7f3a569-e53e-4f31-bee9-c129969ed86f,2024-01-14T00:00:00.000Z,2026-03-03T07:55:56.243Z
105015-CL-24370,LYCEE ACAJOU 1,GAGNE,GAGNE,2024,854e1c45-5503-471d-9384-dde54b789edd,2024-11-06T00:00:00.000Z,2026-03-03T08:01:30.830Z
105063-CL-23292,COLLEGE APPEL DU 18 JUIN,DEVIS_ENVOYE,EN_ATTENTE,2023,7ed679e6-49d4-4418-b7dd-09e17eb7125f,2023-06-26T00:00:00.000Z,2026-03-03T16:33:54.082Z
105063-CL-23466,COLLEGE APPEL DU 18 JUIN,GAGNE,GAGNE,2023,b814587a-8c98-4a47-bb44-c52e99affac1,2023-11-22T00:00:00.000Z,2026-03-03T07:54:47.170Z
105063-CL-24372,COLLEGE APPEL DU 18 JUIN,DEVIS_ENVOYE,EN_ATTENTE,2024,781024f4-a4f6-47ad-9f4c-73c5ff4b109e,2024-11-06T00:00:00.000Z,2026-03-03T16:35:10.277Z
105064-CL-24031,LYCEE GERVILLE REACHE,DEVIS_ENVOYE,EN_ATTENTE,2024,e9b1d02b-460a-410a-9a5e-71e4725c9998,2024-01-14T00:00:00.000Z,2026-03-03T16:34:27.326Z
105065-CL-23493,LYCEE AUGUSTIN ARRON,DEVIS_ENVOYE,PERDU,2023,763d8117-10fd-4e81-b728-2c7f821834c8,2023-12-11T00:00:00.000Z,2026-03-03T07:55:12.180Z
105065-CL-24242,LYCEE AUGUSTIN ARRON,DEVIS_ENVOYE,PERDU,2024,82727eab-597a-43ce-8164-67be093fdf20,2024-07-02T00:00:00.000Z,2026-03-03T07:59:25.189Z
105072-CL-23381,LYCEE CHEVALIER DE SAINT GEORGES,GAGNE,GAGNE,2023,3639829b-3dbc-47f4-9037-210ab1dcd5e1,2023-09-25T00:00:00.000Z,2026-03-03T07:53:00.010Z
105075-CL-23125,COLLEGE EUZHAN PALCY,DEVIS_ENVOYE,EN_ATTENTE,2023,a6ddbc86-888b-4e80-abca-cd60a30d0c13,2023-03-08T00:00:00.000Z,2026-05-11T21:03:22.339Z
105075-CL-23356,COLLEGE EUZHAN PALCY,DEVIS_ENVOYE,EN_ATTENTE,2023,57751a6b-85b5-49a2-9a9e-0d2314a4aee6,2023-09-06T00:00:00.000Z,2026-03-03T16:34:01.879Z
105075-CL-23367,COLLEGE EUZHAN PALCY,DEVIS_ENVOYE,EN_ATTENTE,2023,160ed6c1-9dbb-4729-8652-e625db9e9723,2023-09-13T00:00:00.000Z,2026-03-03T16:34:02.534Z
105076-CL-24238,LYCEE D'HOTELLERIE ET DE TOURISME,DEVIS_ENVOYE,EN_ATTENTE,2024,1d66a3d2-580b-4192-8798-ab9a8f0908fa,2024-06-27T00:00:00.000Z,2026-03-03T16:34:50.097Z
105081-CL-23343,COLLEGE MAURICE SATINEAU,DEVIS_ENVOYE,PERDU,2023,f157ca1b-65ff-4731-b407-e1bd1546d117,2023-08-30T00:00:00.000Z,2026-03-04T11:16:40.085Z
105096-CL-23057,LABORATOIRE CONNEXION,DEVIS_ENVOYE,EN_ATTENTE,2023,b82c2adb-a10d-4120-9ae5-b5e893493964,2023-01-30T00:00:00.000Z,2026-03-03T16:33:26.751Z
105293-CL-24204,COLLEGE NOTRE DAME,GAGNE,GAGNE,2024,602a1ad9-c6b3-47bd-9f0b-66734282c9d1,2024-06-05T00:00:00.000Z,2026-03-03T07:58:49.497Z
105319-CL-23066,COLLEGE REMY NAINSOUTA,GAGNE,GAGNE,2023,f4841b7d-7b29-4db0-bf3f-76ba75776a86,2023-01-31T00:00:00.000Z,2026-05-11T20:55:47.667Z
105409-CL-24045,COLLEGE PABLO NERUDA,DEVIS_ENVOYE,EN_ATTENTE,2024,afd0d92f-18e0-4906-b6a2-6bedef7d9596,2024-01-21T00:00:00.000Z,2026-03-03T16:34:31.217Z
105440-CL-23182,LEPAP MAURICE CLAVEL ,GAGNE,GAGNE,2023,10f607b7-156c-4ac9-879b-caf8aaf67f27,2023-04-03T00:00:00.000Z,2026-03-03T07:49:40.448Z
105440-CL-24154,LEPAP MAURICE CLAVEL ,GAGNE,GAGNE,2024,10c17015-ba74-4085-9a50-adf0f5e10e32,2024-04-08T00:00:00.000Z,2026-03-03T07:58:02.018Z
105465-CL-23375,ECOLE OR TORAH,DEVIS_ENVOYE,EN_ATTENTE,2023,c06c6a2e-1a1a-43e6-8fc4-68b0bb796a94,2023-09-21T00:00:00.000Z,2026-03-03T16:34:04.490Z
105465-CL-24290,ECOLE OR TORAH,GAGNE,GAGNE,2024,5463680f-d614-497a-81d6-a5375cd85ac9,2024-09-15T00:00:00.000Z,2026-03-03T08:00:12.348Z
