Type	Objet ID	Champ ID	Nom technique	Label actuel (EN)	Label FR (à modifier)	Description	Type de champ	Custom?	Actif?	Système?
OBJET	be196c67-aa45-4032-a283-d321ffa45db7		blocklist / blocklists	Blocklist / Blocklists		Blocklist		Non	Oui	
  champ	be196c67-aa45-4032-a283-d321ffa45db7	9a5b767d-471b-48e5-9971-b7069e09b2c1	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	be196c67-aa45-4032-a283-d321ffa45db7	3c0fdeb6-72ee-496d-abcd-990a67aa4fc5	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	be196c67-aa45-4032-a283-d321ffa45db7	b20dd1b2-4bd9-4ef4-b9eb-fa235f95e63b	handle	Handle		Handle	TEXT	Non	Oui	Non
  champ	be196c67-aa45-4032-a283-d321ffa45db7	1206d2de-db03-49bd-a9d7-c8613621cf27	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	be196c67-aa45-4032-a283-d321ffa45db7	92f2a36d-9a01-441f-9f85-b9c9771260f5	workspaceMember	WorkspaceMember		WorkspaceMember	RELATION	Non	Oui	Non
  champ	be196c67-aa45-4032-a283-d321ffa45db7	1523f693-1d50-428c-a090-1ab61925307a	id	Id		Id	UUID	Non	Oui	Oui
OBJET	30c69e9a-aa10-4da1-beb9-558431a8b35f		calendarChannel / calendarChannels	Calendar Channel / Calendar Channels		Calendar Channels		Non	Oui	
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	f15de8a0-db97-469d-a117-75017c8e2559	calendarChannelEventAssociations	Calendar Channel Event Associations		Calendar Channel Event Associations	RELATION	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	2bd63e08-5d0b-4bde-b0bf-3fd0c773a6f6	connectedAccount	Connected Account		Connected Account	RELATION	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	25f55d26-26ce-4339-92de-37fb4c7bdce4	contactAutoCreationPolicy	Contact auto creation policy		Automatically create records for people you participated with in an event.	SELECT	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	45118734-35dc-4425-80d6-545630ec86f0	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	0e05c274-5fd7-4934-a8d1-0a6c8a2f1db4	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	780e61f6-385c-43c0-836c-d1a4a3bf6830	handle	Handle		Handle	TEXT	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	e3f5d4f3-6e4c-43ce-b6e7-d0534756f1be	isContactAutoCreationEnabled	Is Contact Auto Creation Enabled		Is Contact Auto Creation Enabled	BOOLEAN	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	4d8444be-0032-43a3-b301-9a211cd86440	isSyncEnabled	Is Sync Enabled		Is Sync Enabled	BOOLEAN	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	69eff5db-ff04-4d52-b9b2-de015f5a3acb	syncedAt	Last sync date		Last sync date	DATE_TIME	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	d7ca09b1-5e4c-4e32-98ec-53ff701a9ddc	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	a9f57e00-e178-4d63-affe-01799eb6728f	syncCursor	Sync Cursor		Sync Cursor. Used for syncing events from the calendar provider	TEXT	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	b585d620-f79f-4fde-96a2-e78cce3bf083	syncStage	Sync stage		Sync stage	SELECT	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	5dc8ee43-3910-4dbc-bcad-71f6a5351c87	syncStageStartedAt	Sync stage started at		Sync stage started at	DATE_TIME	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	a1255b35-875f-4f58-b35c-c07f0272bcef	syncStatus	Sync status		Sync status	SELECT	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	8c4b5f83-f4c6-4d59-828f-7bdb7c68b021	throttleFailureCount	Throttle Failure Count		Throttle Failure Count	NUMBER	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	e0a27f6e-e076-49ae-a26d-6a4cbfa46a52	visibility	Visibility		Visibility	SELECT	Non	Oui	Non
  champ	30c69e9a-aa10-4da1-beb9-558431a8b35f	2b9ca142-692d-4ffe-8b12-74cdf6182457	id	Id		Id	UUID	Non	Oui	Oui
OBJET	80cae1f9-9376-45e4-baf4-4966fabed5fe		calendarChannelEventAssociation / calendarChannelEventAssociations	Calendar Channel Event Association / Calendar Channel Event Associations		Calendar Channel Event Associations		Non	Oui	
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	43a58311-3cdc-4d62-b4c1-4bd2e49ee5c1	calendarChannel	Channel ID		Channel ID	RELATION	Non	Oui	Non
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	598261dc-38ee-4072-9714-9f03af320afb	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	9076811a-103b-4ee0-a91c-930f4587cd7e	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	dedc29a0-7642-43dd-9f4a-5f5567b27ca6	eventExternalId	Event external ID		Event external ID	TEXT	Non	Oui	Non
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	7dcfd4f7-16f2-4b23-8f05-0ebc8dfbb790	calendarEvent	Event ID		Event ID	RELATION	Non	Oui	Non
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	c9e0b9d0-f50b-4c03-8771-73481cf8b8e6	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	1158b5b0-7a26-4df4-b0c8-d350b2b73410	recurringEventExternalId	Recurring Event ID		Recurring Event ID	TEXT	Non	Oui	Non
  champ	80cae1f9-9376-45e4-baf4-4966fabed5fe	ba73c7e3-fd2c-4210-a87a-d886de2ca3b0	id	Id		Id	UUID	Non	Oui	Oui
OBJET	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51		calendarEventParticipant / calendarEventParticipants	Calendar event participant / Calendar event participants		Calendar event participants		Non	Oui	
